county,total_ballots,turnout_percent,votes_republican,votes_democrat
Apache,35776,68.92,11442,23293
Cochise,60963,74.33,35557,23732
Coconino,73968,81.54,27052,44698
Gila,28057,82.36,18377,8943
Graham,15113,76.13,10749,4034
Greenlee,3723,76.51,2433,1182
La Paz,7522,68.95,5129,2236
Maricopa,2089563,80.51,995665,1040774
Mohave,105440,77.97,78535,24831
Navajo,52490,74.30,27657,23383
Pima,526319,82.45,207758,304981
Pinal,186319,74.86,107077,75106
Santa Cruz,19807,66.13,6194,13138
Yavapai,144911,87.63,91527,49602
Yuma,70594,68.36,36534,32210
